Yun Niu,1:0.0011371071290691085
Viola Ganter,1:0.0011081325320702487
Nathan Gilbert,1:0.0011072367871926877
Veselin Stoyanov,1:0.0011072367871926877
Zornitsa Kozareva,1:0.001106973682716024
Karthik Raghunathan,1:0.0010668928388187946
Nate Chambers,1:0.0010668928388187946
Sudarshan Rangarajan,1:0.0010668928388187946
David McDonald,1:0.0010632266879579335
Satoshl SEKINE,1:0.0010626699874713473
Luke Zettlemoyer,1:0.0010496169704230724
Raphael Hoffmann,1:0.0010496169704230724
Xiao Ling,1:0.0010496169704230724
Congle Zhang,1:0.0010496169704230724
Daniel S. Weld,1:0.0010496169704230724
David Martin,1:0.001027236139783178
Douglas E. Appelt,1:0.001027236139783178
Andy Kehler,1:0.001027236139783178
Karen Myers,1:0.001027236139783178
Altaf Rahman,1:0.0010229139876728366
Pedro Domingos,1:0.0010000120806615241
Jung-jae Kim,1:0.0009957779178899526
David Forsyth,1:0.000985939778868683
Ryan White,1:0.000985939778868683
Jaety Edwards,1:0.000985939778868683
Interjeet Mani,1:0.0009798510414269503
James D. Pustejovsky,1:0.0009798510414269503
Chung Yong Lim,1:0.0009713297805349207
Martin Chodorow,1:0.0009650605136366053
Judith L. Klavans,1:0.0009650605136366053
George Krupka,1:0.0009549007890647316
K. Hausman,1:0.0009549007890647316
Pradeep Muthukrishnan,1:0.0009510132850850325
Vahed Qazvinian,1:0.0009510132850850325
Ramesh Nallapati,1:0.0009426591775981673
David Hall,1:0.0009426591775981673
Daniel Ramage,1:0.0009426591775981673
Katsumasa Yoshikawa,1:0.0009393724762245982
Masayuki Asahara,1:0.0009393724762245982
Jayant V. Rajan,1:0.0009310887233984707
Chirag Patel,1:0.0009227984334754332
Karthik Gali,1:0.0009227984334754332
Saliha Azzam,1:0.0009189840345439586
Kevin Humphreys,1:0.0009189840345439586
Michele Banko,1:0.0009097748046912694
Jimmy Lin,1:0.0009048096708595322
Dina Demner-Fushman,1:0.0009048096708595322
Arzucan Özgür,1:0.000904310653829385
Jonathan Betz,1:0.0009020115733198982
Lucy Vanderwende,1:0.0008980011419740676
Alexis Mitchell,1:0.0008973400052920304
George Doddington,1:0.0008973400052920304
Dayne Freitag,1:0.0008939813019217574
Javier Artiles,1:0.0008932353071970688
Julio Gonzalo,1:0.0008932353071970688
Loïs Rigouste,1:0.0008862906066081791
Laurent Romary,1:0.0008862906066081791
Susanne Salmon-Alt,1:0.0008862906066081791
Andrei Popescu-Belis,1:0.0008862906066081791
Zhou GuoDong,1:0.0008841534868456784
Su Jian,1:0.0008841534868456784
Martin Jansche,1:0.0008783814218501259
Khalid Daoudi,1:0.0008669002476169433
Kristiina Jokinen,1:0.0008669002476169433
Arne Jönsson,1:0.0008669002476169433
Erhong Yang,1:0.0008669002476169433
Kamel Smaïli,1:0.0008669002476169433
Michael Glass,1:0.0008669002476169433
Qingqing Zeng,1:0.0008669002476169433
Nasredine Semmar,1:0.0008669002476169433
Murat Deviren,1:0.0008669002476169433
Utpal Garain,1:0.0008669002476169433
Cathy Wu,1:0.0008669002476169433
Makoto Iwayama,1:0.0008669002476169433
Ching-Yun Chang,1:0.0008669002476169433
Joohyun Kim,1:0.0008669002476169433
Christian Smith,1:0.0008669002476169433
Pornsiri Singhapreecha,1:0.0008669002476169433
Christian Fluhr,1:0.0008669002476169433
Diego Molla,1:0.0008669002476169433
Apurbalal Senapati,1:0.0008669002476169433
