Ralf Brown,1:0.00034680139217904194
Brian Roark,1:0.0003452719974461723
Murat Saraclar,1:0.0003452719974461723
Michiel Bacchiani,1:0.0003452719974461723
Sujay Kumar Jauhar,1:0.0003452556068494116
Benjamin Wellington,1:0.00034512619553813437
Sonjia Waxmonsky,1:0.00034512619553813437
Steve Whittaker,1:0.0003425997233682974
Yonggang Deng,1:0.00034224143174263027
Andi Wu,1:0.00034129129727082587
Chang-Ning Huang,1:0.00034129129727082587
Mu Li,1:0.00034129129727082587
Declan Groves,1:0.00034079841873760683
Ted Briscoe,1:0.0003404955828648625
Ben Medlock,1:0.0003404955828648625
Helen Yannakoudakis,1:0.0003404955828648625
Mini Zajac,1:0.0003398181062006586
Audrey Laroche,1:0.00033940756974026886
Eric P. Xing,1:0.00033913230738345806
Laurent Besacier,1:0.00033848877224335635
Abbas Malik,1:0.00033848877224335635
Danilo Giampiccolo,1:0.000337717927959753
Luisa Bentivogli,1:0.000337717927959753
Alessandro Marchetti,1:0.000337717927959753
Mikael Andersson,1:0.00033708802760835574
Magnus Merkel,1:0.00033708802760835574
Lars Ahrenberg,1:0.00033708802760835574
John Platt,1:0.00033322626119105094
Wen-tau Yih,1:0.00033322626119105094
Liviu P. Dinu,1:0.00033235148120851877
Marius Popescu,1:0.00033235148120851877
Pi-Chuan Chang,1:0.0003291339512787998
Jirka Hana,1:0.00032531996988621157
Sheng Li,1:0.000325175058396878
Chew Lim Tan,1:0.000325175058396878
Hongfei Jiang,1:0.000325175058396878
Michael Subotin,1:0.0003246509854126554
Achim Ruopp,1:0.000324103820426625
Hisami Suzuki,1:0.000324103820426625
Jesse Davis,1:0.0003223768757917467
Stefan Schoenmackers,1:0.0003223768757917467
Daniel Weld,1:0.0003223768757917467
Young-Sook Hwang,1:0.0003186658513371451
Andrew Finch,1:0.0003186658513371451
Jian-Yun Nie,1:0.00031762960244238856
Jiang Chen,1:0.00031762960244238856
Shane Bergsma,1:0.00031659049383221725
Pierre Plamondon,1:0.00031460938582599136
Erwin Marsi,1:0.0003134019978810721
Emiel Krahmer,1:0.0003134019978810721
Thamar Solorio,1:0.0003116282169853601
Yang Liu,1:0.0003116282169853601
Alan K Melby,1:0.0003112421399478029
Oren Glickman,1:0.00031088774138842974
Walter Daelemans,1:0.00031088774138842974
Samy Bengio,1:0.00031088774138842974
Mikaela Keller,1:0.00031088774138842974
Patrick Schone,1:0.00031000950254863496
Jaeho Kang,1:0.00030968398389987585
Michael Ringgaard,1:0.00030968398389987585
